id,year,sex,age,marital_status,degree,occ_prestige,num_children,op_working_mother,op_preschool,op_family,op_men_over_work,op_childcare,work_status,hours_worked,ever_worked
1333,2021,Female,1950-1959,Married,High School,47,0,NA,NA,NA,NA,About Right,Retired,More than 89,YES
1334,2021,Male,1990-1999,Never Married,Bachelors,49,0,Agree,Strongly Disagree,Agree,Disagree,About Right,Working part time,More than 89,Inapplicable
1335,2021,Male,1970-1979,Married,Graduate,69,1,NA,NA,NA,NA,Too Little,Working full time,40-49,Inapplicable
1336,2021,Male,1980-1989,Married,Bachelors,60,2,Disagree,Agree,Agree,Disagree,Too Little,Working full time,40-49,Inapplicable
1337,2021,Male,1960-1969,Married,High School,44,3,Agree,Disagree,Disagree,Disagree,About Right,Retired,More than 89,YES
1338,2021,Female,1970-1979,Never Married,High School,48,0,Strongly Agree,Disagree,Disagree,Neither Agree Nor Disagree,Too Little,Working full time,40-49,Inapplicable
1339,2021,Female,1960-1969,Married,High School,49,2,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Too Little,Keeping house,More than 89,YES
1340,2021,Female,1950-1959,Divorced,Graduate,61,2,NA,NA,NA,NA,Too Little,Retired,More than 89,YES
1341,2021,Male,1950-1959,Married,Bachelors,62,2,Agree,Agree,Disagree,Strongly Agree,About Right,Retired,More than 89,YES
1342,2021,Female,1970-1979,Separated,Bachelors,72,2,NA,NA,NA,NA,About Right,Working full time,40-49,Inapplicable
1343,2021,Male,2000-2009,Never Married,High School,NA,0,NA,NA,NA,NA,Too Little,"Unemployed, laid off, looking for work",More than 89,Inapplicable
1344,2021,Male,1930-1939,Married,Graduate,69,4,Strongly Agree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Too Little,Retired,More than 89,YES
1345,2021,Female,1940-1949,Divorced,High School,31,1,NA,NA,NA,NA,About Right,Retired,More than 89,YES
1346,2021,Male,1930-1939,Married,Graduate,62,2,Agree,Agree,Disagree,Strongly Agree,About Right,Retired,More than 89,YES
1347,2021,Male,1960-1969,Married,High School,38,2,Agree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Too Much,Retired,More than 89,YES
1348,2021,Female,1960-1969,Married,High School,47,1,Agree,Disagree,Disagree,Neither Agree Nor Disagree,About Right,Working full time,40-49,Inapplicable
1349,2021,Female,1960-1969,Married,Associate/Junior College,69,4,Agree,Disagree,Disagree,Strongly Disagree,About Right,Working full time,40-49,Inapplicable
1350,2021,Male,1960-1969,Married,Bachelors,44,0,Strongly Agree,Strongly Disagree,Disagree,Neither Agree Nor Disagree,Too Little,Retired,More than 89,YES
1351,2021,Female,1990-1999,Never Married,Bachelors,31,0,NA,NA,NA,NA,Too Little,Working full time,40-49,Inapplicable
1352,2021,Male,1930-1939,Married,Bachelors,35,2,NA,NA,NA,NA,Too Little,"Unemployed, laid off, looking for work",More than 89,Inapplicable
1353,2021,Female,1970-1979,Never Married,Bachelors,66,2,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,About Right,Keeping house,More than 89,YES
1354,2021,Male,1940-1949,Married,High School,34,5,Strongly Agree,Strongly Disagree,Agree,Disagree,Too Little,Retired,More than 89,YES
1355,2021,Female,1980-1989,Divorced,Less than High School,36,5,Disagree,Disagree,Agree,Neither Agree Nor Disagree,Too Little,Other,More than 89,YES
1356,2021,Female,1990-1999,Never Married,High School,24,0,NA,NA,NA,NA,Too Little,Working full time,40-49,Inapplicable
1357,2021,Male,1940-1949,Widowed,Bachelors,53,1,Agree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Too Much,Retired,More than 89,YES
1358,2021,Female,1970-1979,Separated,Bachelors,54,4,NA,NA,NA,NA,Too Little,Keeping house,More than 89,YES
1359,2021,Female,1970-1979,Married,Bachelors,32,1,NA,NA,NA,NA,About Right,Working full time,40-49,Inapplicable
1360,2021,Female,1940-1949,Married,Graduate,55,2,NA,NA,NA,NA,About Right,Retired,More than 89,YES
1361,2021,Female,1970-1979,Married,Bachelors,59,0,Strongly Agree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Too Little,Keeping house,More than 89,YES
1363,2021,Female,1940-1949,Married,Bachelors,61,2,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Too Little,Retired,More than 89,YES
1364,2021,Male,1990-1999,Never Married,High School,28,3,Strongly Disagree,Agree,Disagree,Agree,Too Little,Keeping house,More than 89,YES
1365,2021,Male,1950-1959,Married,Bachelors,73,0,NA,NA,NA,NA,Too Little,Retired,More than 89,YES
1367,2021,Female,1980-1989,Separated,High School,47,2,NA,NA,NA,NA,About Right,Working full time,40-49,Inapplicable
1368,2021,Male,1950-1959,Married,High School,18,1,Strongly Agree,Disagree,Agree,Disagree,Too Little,Working full time,70-79,Inapplicable
1369,2021,Male,1940-1949,Married,High School,44,2,NA,NA,NA,NA,Too Little,Retired,More than 89,YES
1370,2021,Female,1960-1969,Married,Graduate,51,2,Strongly Agree,Disagree,Disagree,Agree,About Right,Working part time,10-19,Inapplicable
1371,2021,Male,1950-1959,Married,Associate/Junior College,31,2,Disagree,Agree,Strongly Agree,Agree,About Right,Working full time,30-39,Inapplicable
1372,2021,Female,1970-1979,Divorced,High School,45,2,Strongly Agree,Disagree,Disagree,Neither Agree Nor Disagree,Too Little,Working full time,40-49,Inapplicable
1373,2021,Female,1980-1989,Married,Graduate,46,3,NA,NA,NA,NA,Too Little,Working full time,50-59,Inapplicable
1374,2021,Female,1970-1979,Married,Graduate,66,0,Strongly Agree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Too Little,Working full time,30-39,Inapplicable
1375,2021,Female,1980-1989,Married,Graduate,74,1,NA,NA,NA,NA,Too Little,In school,More than 89,YES
1376,2021,Female,1960-1969,Married,Graduate,47,2,Agree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Too Little,Working full time,40-49,Inapplicable
1379,2021,Female,1940-1949,Married,Less than High School,48,4,NA,NA,NA,NA,Too Little,Retired,More than 89,YES
1380,2021,Male,1940-1949,Widowed,High School,35,4,Agree,Disagree,Disagree,Strongly Agree,Too Little,Retired,More than 89,YES
1381,2021,Male,1960-1969,Married,Bachelors,38,3,NA,NA,NA,NA,About Right,Working part time,30-39,Inapplicable
1382,2021,Female,1960-1969,Married,High School,39,4,Strongly Agree,Agree,Disagree,Neither Agree Nor Disagree,Too Little,Keeping house,More than 89,YES
1383,2021,Female,1960-1969,Married,High School,49,3,NA,NA,NA,NA,Too Little,Working full time,40-49,Inapplicable
1384,2021,Male,1960-1969,Divorced,High School,41,1,Disagree,Agree,Agree,Agree,About Right,Working part time,More than 89,Inapplicable
1385,2021,Female,1930-1939,Married,Bachelors,64,NA,Disagree,Agree,Agree,Neither Agree Nor Disagree,Too Much,Retired,More than 89,YES
1386,2021,Male,1950-1959,Married,High School,45,2,NA,NA,NA,NA,Too Much,Retired,More than 89,YES
1387,2021,Female,1990-1999,Married,Less than High School,25,2,Disagree,Agree,Agree,Agree,About Right,"Unemployed, laid off, looking for work",More than 89,Inapplicable
1388,2021,Female,1980-1989,Married,Graduate,47,4,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Too Little,Working part time,20-29,Inapplicable
1389,2021,Female,1980-1989,Separated,High School,59,3,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,About Right,Working full time,60-69,Inapplicable
1391,2021,Female,Don't Know,Divorced,Bachelors,33,1,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Too Little,In school,More than 89,YES
1392,2021,Male,1930-1939,Married,Associate/Junior College,35,0,NA,NA,NA,NA,Too Little,Retired,More than 89,YES
1393,2021,Male,1940-1949,Divorced,Bachelors,54,1,NA,NA,NA,NA,Too Little,Retired,More than 89,YES
1394,2021,Female,1940-1949,Married,Less than High School,28,3,Agree,Agree,Strongly Agree,Neither Agree Nor Disagree,Too Little,Retired,More than 89,YES
1395,2021,Male,1940-1949,Widowed,High School,60,6,NA,NA,NA,NA,About Right,Retired,More than 89,YES
1396,2021,Male,1980-1989,Never Married,High School,24,0,Agree,Agree,Agree,Agree,About Right,Working full time,50-59,Inapplicable
1397,2021,Female,1960-1969,Widowed,Associate/Junior College,32,4,NA,NA,NA,NA,Too Little,"With a job, but not at work because of temporary illness, vacation, strike",More than 89,Inapplicable
1398,2021,Female,1940-1949,Never Married,Graduate,69,0,Agree,Agree,Disagree,Agree,Too Little,Retired,More than 89,YES
1399,2021,Male,1950-1959,Married,Graduate,74,2,NA,NA,NA,NA,Too Little,Retired,More than 89,YES
1400,2021,Male,1960-1969,Widowed,Bachelors,39,2,NA,NA,NA,NA,About Right,Working full time,40-49,Inapplicable
1401,2021,Male,1980-1989,Married,Bachelors,60,4,Agree,Disagree,Agree,Agree,Too Little,Working full time,40-49,Inapplicable
1402,2021,Female,1960-1969,Divorced,Associate/Junior College,31,2,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Too Little,Working full time,40-49,Inapplicable
1403,2021,Female,1960-1969,Married,High School,25,3,Strongly Agree,Strongly Disagree,Disagree,Neither Agree Nor Disagree,Too Little,Working part time,30-39,Inapplicable
1404,2021,Male,1960-1969,Divorced,High School,24,1,Disagree,Disagree,Agree,Neither Agree Nor Disagree,About Right,Working full time,40-49,Inapplicable
1405,2021,Female,1940-1949,Married,Associate/Junior College,64,2,NA,NA,NA,NA,About Right,Retired,More than 89,YES
1406,2021,Female,1970-1979,Married,Less than High School,31,3,Agree,Disagree,Disagree,Disagree,About Right,"Unemployed, laid off, looking for work",More than 89,Inapplicable
1407,2021,Female,1950-1959,Married,Associate/Junior College,64,2,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Too Little,Retired,More than 89,YES
1408,2021,Female,1980-1989,Separated,High School,38,4,NA,NA,NA,NA,About Right,Keeping house,More than 89,YES
1409,2021,Female,1990-1999,Never Married,Associate/Junior College,38,1,Agree,Agree,Agree,Agree,Too Little,"Unemployed, laid off, looking for work",More than 89,Inapplicable
1410,2021,Female,1980-1989,Never Married,Associate/Junior College,31,3,Agree,Disagree,Disagree,Disagree,Too Little,Working full time,40-49,Inapplicable
1411,2021,Male,1980-1989,Married,High School,48,1,Agree,Disagree,Agree,Neither Agree Nor Disagree,About Right,Working full time,40-49,Inapplicable
1413,2021,Female,1950-1959,NA,High School,32,0,Agree,Agree,Disagree,Agree,Too Little,Retired,More than 89,YES
1414,2021,Female,1940-1949,Widowed,High School,48,4,NA,NA,NA,NA,Too Little,Retired,More than 89,YES
1415,2021,Female,1980-1989,Never Married,Associate/Junior College,31,0,NA,NA,NA,NA,Too Little,Working part time,40-49,Inapplicable
1416,2021,Female,1980-1989,Divorced,Associate/Junior College,47,1,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Too Little,Working full time,40-49,Inapplicable
1417,2021,Male,1950-1959,Widowed,High School,28,2,Agree,Disagree,Disagree,Agree,About Right,Retired,More than 89,YES
1418,2021,Male,1960-1969,Divorced,Bachelors,53,3,Disagree,Agree,Strongly Agree,Strongly Agree,Too Little,Working full time,50-59,Inapplicable
1419,2021,Female,1960-1969,Divorced,High School,39,4,NA,NA,NA,NA,About Right,"Unemployed, laid off, looking for work",More than 89,Inapplicable
1420,2021,Female,1960-1969,Married,Bachelors,48,3,Agree,Disagree,Strongly Disagree,Agree,About Right,Working full time,40-49,Inapplicable
1421,2021,Male,1990-1999,Never Married,Associate/Junior College,28,0,Strongly Agree,Agree,Strongly Disagree,Agree,Too Little,Working full time,30-39,Inapplicable
1422,2021,Female,1980-1989,Married,High School,44,2,Disagree,Disagree,Strongly Disagree,Agree,Too Little,Working full time,30-39,Inapplicable
1423,2021,Female,1990-1999,Married,Bachelors,38,2,NA,NA,NA,NA,About Right,Keeping house,More than 89,YES
1424,2021,Female,1960-1969,Married,Associate/Junior College,56,2,Strongly Agree,Disagree,Disagree,Neither Agree Nor Disagree,About Right,Working full time,30-39,Inapplicable
1425,2021,Male,1950-1959,Married,Bachelors,50,2,NA,NA,NA,NA,About Right,Working part time,20-29,Inapplicable
1426,2021,Male,1970-1979,Never Married,Bachelors,51,0,NA,NA,NA,NA,Too Little,"With a job, but not at work because of temporary illness, vacation, strike",More than 89,Inapplicable
1427,2021,Male,1990-1999,Never Married,Bachelors,NA,0,Disagree,Strongly Disagree,Strongly Disagree,Agree,Too Little,In school,More than 89,NO
1428,2021,Male,1950-1959,Married,Bachelors,43,2,Disagree,Disagree,Agree,Disagree,About Right,Working part time,50-59,Inapplicable
1429,2021,Male,1970-1979,Divorced,Bachelors,58,0,Agree,Disagree,Strongly Disagree,Agree,Too Much,"Unemployed, laid off, looking for work",More than 89,Inapplicable
1430,2021,Male,1960-1969,Married,High School,72,2,NA,NA,NA,NA,Too Little,Retired,More than 89,YES
1431,2021,Female,1980-1989,Never Married,Bachelors,48,0,Strongly Agree,Disagree,Disagree,Agree,About Right,Working full time,30-39,Inapplicable
1432,2021,Female,1970-1979,Divorced,Associate/Junior College,41,0,NA,NA,NA,NA,Too Little,Working full time,40-49,Inapplicable
1433,2021,Male,Don't Know,Never Married,High School,32,0,Strongly Agree,Disagree,Strongly Disagree,Disagree,About Right,Other,More than 89,YES
1434,2021,Male,1950-1959,Divorced,High School,32,1,Agree,Strongly Disagree,Disagree,Agree,About Right,Retired,More than 89,YES
1435,2021,Female,1960-1969,Widowed,High School,21,0,Strongly Agree,Disagree,Strongly Agree,Disagree,About Right,Keeping house,More than 89,YES
1436,2021,Male,1990-1999,Never Married,High School,45,0,NA,NA,NA,NA,Too Little,Working full time,70-79,Inapplicable
1437,2021,Female,1990-1999,Never Married,Associate/Junior College,38,0,Agree,Disagree,Disagree,Disagree,About Right,Working full time,40-49,Inapplicable
1438,2021,Male,1930-1939,Married,High School,50,0,Agree,Disagree,Disagree,Agree,Too Little,Retired,More than 89,YES
1440,2021,Female,1940-1949,Married,Graduate,74,3,Agree,Disagree,Disagree,Agree,Too Little,Retired,More than 89,YES
1441,2021,Male,1970-1979,Divorced,Associate/Junior College,72,1,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Too Little,Working full time,60-69,Inapplicable
1442,2021,Female,1970-1979,Married,High School,32,2,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Too Little,Keeping house,More than 89,YES
1444,2021,Female,1960-1969,Married,Bachelors,NA,NA,NA,NA,NA,NA,Too Little,Keeping house,More than 89,YES
1445,2021,Female,1970-1979,Married,Graduate,48,5,NA,NA,NA,NA,About Right,Keeping house,More than 89,YES
1446,2021,Female,Don't Know,Never Married,Bachelors,31,0,Strongly Agree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Too Little,"With a job, but not at work because of temporary illness, vacation, strike",More than 89,Inapplicable
1447,2021,Female,1940-1949,Widowed,High School,31,2,Agree,Disagree,Agree,Strongly Agree,About Right,Retired,More than 89,YES
1448,2021,Female,Don't Know,Never Married,Bachelors,51,0,Agree,Disagree,Strongly Disagree,Strongly Agree,Too Much,Working full time,40-49,Inapplicable
1449,2021,Female,1980-1989,Married,Graduate,49,2,Agree,Disagree,Disagree,Disagree,Too Little,"Unemployed, laid off, looking for work",More than 89,Inapplicable
1450,2021,Female,1960-1969,Never Married,Graduate,62,2,NA,NA,NA,NA,Too Little,Working full time,40-49,Inapplicable
1451,2021,Female,1970-1979,Divorced,Graduate,59,0,Strongly Agree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Too Little,Working full time,40-49,Inapplicable
1452,2021,Female,1970-1979,Never Married,Bachelors,60,0,NA,NA,NA,NA,About Right,Working full time,40-49,Inapplicable
1453,2021,Female,1970-1979,Married,High School,40,0,Agree,Disagree,Strongly Disagree,Strongly Disagree,About Right,"Unemployed, laid off, looking for work",More than 89,Inapplicable
1454,2021,Male,1960-1969,Married,Bachelors,27,0,NA,NA,NA,NA,Too Little,Working full time,40-49,Inapplicable
1455,2021,Male,1950-1959,Divorced,High School,49,0,NA,NA,NA,NA,Too Little,Retired,More than 89,YES
1456,2021,Female,1950-1959,Never Married,High School,61,0,NA,NA,NA,NA,Too Little,Other,More than 89,YES
1457,2021,Female,1950-1959,Married,High School,50,2,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Too Little,Retired,More than 89,YES
1458,2021,Male,1980-1989,Married,High School,66,2,NA,NA,NA,NA,Too Little,Working full time,40-49,Inapplicable
1459,2021,Female,1940-1949,Widowed,High School,37,3,NA,NA,NA,NA,Too Little,Retired,More than 89,YES
1460,2021,Female,1930-1939,Widowed,High School,45,3,Strongly Agree,Agree,Strongly Disagree,Agree,About Right,Retired,More than 89,YES
1461,2021,Male,1950-1959,Married,Bachelors,45,2,NA,NA,NA,NA,About Right,Retired,More than 89,YES
1462,2021,Female,1930-1939,Widowed,High School,33,3,NA,NA,NA,NA,About Right,Working part time,0-9,Inapplicable
1463,2021,Female,1960-1969,Never Married,High School,28,2,Disagree,Agree,Agree,Neither Agree Nor Disagree,About Right,Working part time,20-29,Inapplicable
1464,2021,Female,1960-1969,Divorced,High School,32,2,Agree,Disagree,Disagree,Agree,Too Little,Keeping house,More than 89,YES
1465,2021,Female,Don't Know,Divorced,Graduate,17,NA,NA,NA,NA,NA,About Right,Working full time,40-49,Inapplicable
1466,2021,Male,Don't Know,Married,High School,49,4,Agree,Disagree,Disagree,Neither Agree Nor Disagree,About Right,Working full time,50-59,Inapplicable
1467,2021,Male,1960-1969,Married,Graduate,67,0,NA,NA,NA,NA,Too Much,"With a job, but not at work because of temporary illness, vacation, strike",More than 89,Inapplicable
1468,2021,Female,1950-1959,Widowed,Graduate,59,0,Agree,Disagree,Disagree,Agree,Too Little,"With a job, but not at work because of temporary illness, vacation, strike",More than 89,Inapplicable
1469,2021,Male,1950-1959,Married,Bachelors,63,0,NA,NA,NA,NA,About Right,Retired,More than 89,YES
1470,2021,Male,1950-1959,Married,Graduate,69,0,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Too Little,Working full time,40-49,Inapplicable
1471,2021,Male,1980-1989,Divorced,Associate/Junior College,49,0,NA,NA,NA,NA,Too Little,Working full time,40-49,Inapplicable
1472,2021,Female,1960-1969,Married,Associate/Junior College,47,2,NA,NA,NA,NA,Too Little,Working part time,20-29,Inapplicable
1474,2021,Female,1950-1959,Separated,Graduate,40,6,Agree,Disagree,Strongly Disagree,Agree,About Right,Retired,More than 89,YES
1475,2021,Female,1940-1949,Married,Graduate,61,0,NA,NA,NA,NA,About Right,Retired,More than 89,YES
1476,2021,NA,1980-1989,Married,High School,48,3,Agree,Disagree,Strongly Disagree,Agree,About Right,Working part time,20-29,Inapplicable
1477,2021,Male,1950-1959,Married,Graduate,72,4,Agree,Agree,Agree,Neither Agree Nor Disagree,About Right,Retired,More than 89,YES
1478,2021,Female,1960-1969,Divorced,High School,32,2,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,About Right,Working full time,30-39,Inapplicable
1479,2021,Male,1930-1939,Widowed,Less than High School,45,2,Disagree,Agree,Disagree,Strongly Agree,Too Little,Retired,More than 89,YES
1480,2021,Female,1940-1949,Married,High School,49,2,Agree,Agree,Disagree,Agree,About Right,Retired,More than 89,YES
1481,2021,Female,1960-1969,Married,Associate/Junior College,39,1,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Too Little,Retired,More than 89,YES
1482,2021,Female,1940-1949,Widowed,High School,38,1,NA,NA,NA,NA,Too Much,Retired,More than 89,YES
1483,2021,Female,Don't Know,Married,Graduate,64,1,NA,NA,NA,NA,Too Much,Retired,More than 89,YES
1484,2021,Male,1990-1999,Never Married,High School,27,3,Strongly Agree,Strongly Disagree,Disagree,Neither Agree Nor Disagree,Too Much,Working full time,50-59,Inapplicable
1485,2021,Female,1950-1959,Married,Graduate,64,2,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Too Little,Retired,More than 89,YES
1486,2021,Female,1940-1949,Married,Associate/Junior College,48,3,Strongly Agree,Agree,Strongly Agree,Neither Agree Nor Disagree,NA,Keeping house,More than 89,YES
1487,2021,Female,1950-1959,Married,Bachelors,64,3,NA,NA,NA,NA,NA,Retired,More than 89,YES
1488,2021,Female,1940-1949,Widowed,High School,32,4,Agree,Agree,Strongly Disagree,Neither Agree Nor Disagree,Too Little,Retired,More than 89,YES
1489,2021,Female,1950-1959,Married,Bachelors,31,0,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,About Right,Retired,More than 89,YES
1490,2021,Female,1940-1949,Widowed,High School,47,0,Agree,Agree,Disagree,Agree,NA,Retired,More than 89,YES
1491,2021,Male,1950-1959,Married,Graduate,59,2,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Too Little,Retired,More than 89,YES
1492,2021,Female,1960-1969,Divorced,High School,28,2,NA,NA,NA,NA,About Right,Retired,More than 89,YES
1493,2021,NA,2000-2009,Never Married,Less than High School,NA,0,NA,NA,NA,NA,Too Little,In school,More than 89,NO
1494,2021,Female,1940-1949,Widowed,High School,32,3,NA,NA,NA,NA,Too Little,Retired,More than 89,YES
1495,2021,Female,1970-1979,Divorced,Bachelors,49,3,Agree,Disagree,Disagree,Strongly Agree,About Right,Working part time,50-59,Inapplicable
1496,2021,Female,1940-1949,Divorced,Bachelors,41,2,Agree,Disagree,Disagree,Neither Agree Nor Disagree,About Right,Retired,More than 89,YES
1497,2021,Female,1960-1969,Widowed,High School,45,2,Strongly Agree,Disagree,Agree,Neither Agree Nor Disagree,About Right,Keeping house,More than 89,YES
1498,2021,Female,1990-1999,Never Married,Less than High School,32,1,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Too Little,"Unemployed, laid off, looking for work",More than 89,Inapplicable
1499,2021,Female,1990-1999,Never Married,Less than High School,41,0,NA,NA,NA,NA,Too Little,Working part time,40-49,Inapplicable
1501,2021,Female,1960-1969,Married,Graduate,61,3,NA,NA,NA,NA,About Right,Working full time,40-49,Inapplicable
1502,2021,Female,Don't Know,Married,Associate/Junior College,64,2,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Too Little,Working full time,40-49,Inapplicable
1504,2021,Female,1990-1999,Never Married,High School,NA,0,Agree,Agree,Strongly Disagree,Agree,Too Little,In school,More than 89,NO
1505,2021,Male,1980-1989,Married,Bachelors,54,2,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Too Much,Working full time,40-49,Inapplicable
1506,2021,Female,1950-1959,Married,Less than High School,31,2,Agree,Agree,Agree,Agree,Too Little,Keeping house,More than 89,YES
1507,2021,Male,1940-1949,Married,High School,38,4,NA,NA,NA,NA,Too Much,Retired,More than 89,YES
1508,2021,Male,1970-1979,Married,Bachelors,32,0,NA,NA,NA,NA,Too Little,Working full time,60-69,Inapplicable
1509,2021,Female,1970-1979,Never Married,Associate/Junior College,32,0,NA,NA,NA,NA,Too Little,In school,More than 89,YES
1511,2021,Male,1980-1989,Married,Bachelors,75,0,NA,NA,NA,NA,About Right,Working full time,40-49,Inapplicable
1512,2021,Male,1980-1989,Married,High School,60,2,NA,NA,NA,NA,Too Little,Working full time,50-59,Inapplicable
1513,2021,Female,1970-1979,Married,High School,29,0,Disagree,Agree,Disagree,Agree,Too Little,Working full time,40-49,Inapplicable
1514,2021,Female,1960-1969,Married,Bachelors,62,1,Agree,Agree,Disagree,Neither Agree Nor Disagree,About Right,Working full time,40-49,Inapplicable
1515,2021,Female,1960-1969,Married,High School,39,3,NA,NA,NA,NA,Too Little,Other,More than 89,YES
1516,2021,Female,1970-1979,Never Married,Less than High School,25,2,NA,NA,NA,NA,About Right,Keeping house,More than 89,YES
1517,2021,Male,1960-1969,Married,Bachelors,57,1,NA,NA,NA,NA,About Right,Working full time,30-39,Inapplicable
1518,2021,Male,1960-1969,Never Married,Less than High School,35,0,NA,NA,NA,NA,Too Much,Working full time,80-89,Inapplicable
1519,2021,Female,1980-1989,Divorced,Associate/Junior College,27,2,Agree,Disagree,Disagree,Neither Agree Nor Disagree,About Right,Working part time,20-29,Inapplicable
1520,2021,Male,Don't Know,Married,NA,NA,3,Agree,Disagree,Disagree,Strongly Agree,About Right,Working full time,80-89,Inapplicable
1521,2021,Male,1940-1949,Married,High School,28,7,Disagree,Disagree,Agree,Disagree,About Right,Retired,More than 89,YES
1522,2021,Male,1960-1969,Married,High School,46,2,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Too Much,Working full time,60-69,Inapplicable
1523,2021,Male,1950-1959,Divorced,High School,38,0,Disagree,Disagree,Agree,Agree,Too Much,Retired,More than 89,YES
1524,2021,Male,1980-1989,Married,Graduate,60,2,Strongly Agree,Strongly Disagree,Disagree,Agree,Too Much,Working full time,50-59,Inapplicable
1525,2021,Male,1930-1939,Married,Graduate,74,6,Disagree,Agree,Agree,Strongly Agree,Too Much,Retired,More than 89,YES
1526,2021,Female,1950-1959,Widowed,High School,45,3,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Too Little,Working part time,10-19,Inapplicable
1527,2021,Male,1990-1999,Divorced,Bachelors,NA,0,NA,NA,NA,NA,About Right,Skipped on Web,More than 89,Skipped on Web
1528,2021,Female,1970-1979,Divorced,Bachelors,42,0,NA,NA,NA,NA,About Right,Working full time,50-59,Inapplicable
1529,2021,Female,1950-1959,Married,High School,25,0,Agree,Disagree,Agree,Disagree,Too Much,Keeping house,More than 89,YES
1530,2021,Female,1950-1959,Divorced,High School,20,3,NA,NA,NA,NA,Too Little,Retired,More than 89,YES
1531,2021,Male,1950-1959,Divorced,High School,35,5,Strongly Agree,Strongly Disagree,Disagree,Disagree,Too Little,Working part time,30-39,Inapplicable
1532,2021,Female,1960-1969,Married,High School,38,1,NA,NA,NA,NA,Too Little,Keeping house,More than 89,YES
1534,2021,Male,1940-1949,Married,High School,42,3,Strongly Agree,Disagree,Strongly Agree,Disagree,Too Little,Retired,More than 89,YES
1535,2021,Male,1970-1979,Married,High School,43,2,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Too Little,Working full time,40-49,Inapplicable
1536,2021,Female,1960-1969,Married,High School,46,2,NA,NA,NA,NA,Too Little,"Unemployed, laid off, looking for work",More than 89,Inapplicable
1537,2021,Female,1990-1999,Divorced,Bachelors,46,0,Strongly Agree,Disagree,Strongly Disagree,Agree,Too Little,Working full time,40-49,Inapplicable
1538,2021,Male,1990-1999,Never Married,Bachelors,58,0,Agree,Strongly Disagree,Strongly Disagree,Disagree,About Right,Working full time,40-49,Inapplicable
1539,2021,Male,1970-1979,Married,Bachelors,48,2,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,About Right,Working full time,50-59,Inapplicable
1540,2021,Female,1960-1969,Married,Bachelors,60,1,NA,NA,NA,NA,About Right,Retired,More than 89,YES
1541,2021,Female,1980-1989,Married,High School,31,2,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Too Little,Working full time,40-49,Inapplicable
1542,2021,Female,1980-1989,Married,Graduate,42,1,NA,NA,NA,NA,Too Little,Working full time,50-59,Inapplicable
1543,2021,Female,1970-1979,Divorced,Graduate,61,2,NA,NA,NA,NA,Too Little,Working part time,40-49,Inapplicable
1544,2021,Female,1980-1989,Divorced,High School,39,3,Agree,Disagree,Strongly Disagree,Disagree,Too Much,Working full time,50-59,Inapplicable
1545,2021,Female,1960-1969,Widowed,Associate/Junior College,30,1,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Too Much,Working full time,50-59,Inapplicable
1546,2021,Female,1950-1959,Separated,Less than High School,48,4,Strongly Agree,Disagree,Disagree,Neither Agree Nor Disagree,Too Little,Other,More than 89,YES
1547,2021,Male,1950-1959,Married,Bachelors,38,1,NA,NA,NA,NA,Too Little,Working full time,40-49,Inapplicable
1548,2021,Female,1970-1979,Divorced,High School,32,1,NA,NA,NA,NA,About Right,Working full time,50-59,Inapplicable
